Subject,Start Date,All Day Event
A1,24/8/2020,TRUE
B1,25/8/2020,TRUE
A2,26/8/2020,TRUE
B2,27/8/2020,TRUE
A3,28/8/2020,TRUE
B3,31/8/2020,TRUE
A4,1/9/2020,TRUE
B4,2/9/2020,TRUE
A1,3/9/2020,TRUE
B1,4/9/2020,TRUE
A2,7/9/2020,TRUE
B2,8/9/2020,TRUE
A3,9/9/2020,TRUE
B3,10/9/2020,TRUE
A4,11/9/2020,TRUE
B4,14/9/2020,TRUE
A1,15/9/2020,TRUE
B1,16/9/2020,TRUE
A2,17/9/2020,TRUE
B2,18/9/2020,TRUE
A3,21/9/2020,TRUE
B3,22/9/2020,TRUE
A4,23/9/2020,TRUE
B4,25/9/2020,TRUE
A1,28/9/2020,TRUE
B1,29/9/2020,TRUE
A2,30/9/2020,TRUE
B2,5/10/2020,TRUE
A3,6/10/2020,TRUE
B3,7/10/2020,TRUE
A4,8/10/2020,TRUE
B4,9/10/2020,TRUE
A1,12/10/2020,TRUE
B1,13/10/2020,TRUE
A2,14/10/2020,TRUE
B2,15/10/2020,TRUE
A3,16/10/2020,TRUE
A1,27/10/2020,TRUE
B1,28/10/2020,TRUE
A2,29/10/2020,TRUE
B2,30/10/2020,TRUE
A3,2/11/2020,TRUE
B3,3/11/2020,TRUE
A4,4/11/2020,TRUE
B4,5/11/2020,TRUE
A1,6/11/2020,TRUE
B1,9/11/2020,TRUE
A2,10/11/2020,TRUE
B2,11/11/2020,TRUE
A3,12/11/2020,TRUE
B3,17/11/2020,TRUE
A4,18/11/2020,TRUE
B4,19/11/2020,TRUE
A1,23/11/2020,TRUE
B1,24/11/2020,TRUE
A2,25/11/2020,TRUE
B2,26/11/2020,TRUE
A3,27/11/2020,TRUE
B3,30/11/2020,TRUE
A4,1/12/2020,TRUE
B4,2/12/2020,TRUE
A1,3/12/2020,TRUE
B1,4/12/2020,TRUE
A2,7/12/2020,TRUE
B2,8/12/2020,TRUE
A3,9/12/2020,TRUE
B3,10/12/2020,TRUE
A4,11/12/2020,TRUE
B4,14/12/2020,TRUE
A1,15/12/2020,TRUE
B1,16/12/2020,TRUE
A2,17/12/2020,TRUE
B2,5/1/2021,TRUE
A3,6/1/2021,TRUE
B3,7/1/2021,TRUE
A4,8/1/2021,TRUE
B4,11/1/2021,TRUE
A1,12/1/2021,TRUE
B1,13/1/2021,TRUE
A2,14/1/2021,TRUE
B2,15/1/2021,TRUE
A3,18/1/2021,TRUE
B3,19/1/2021,TRUE
A4,20/1/2021,TRUE
B4,21/1/2021,TRUE
A1,22/1/2021,TRUE
B1,25/1/2021,TRUE
A2,26/1/2021,TRUE
B2,27/1/2021,TRUE
A3,28/1/2021,TRUE
B3,29/1/2021,TRUE
A4,1/2/2021,TRUE
B4,2/2/2021,TRUE
A1,3/2/2021,TRUE
B1,4/2/2021,TRUE
A2,5/2/2021,TRUE
B2,8/2/2021,TRUE
A3,9/2/2021,TRUE
B3,23/2/2021,TRUE
A4,24/2/2021,TRUE
B4,25/2/2021,TRUE
A1,26/2/2021,TRUE
B1,1/3/2021,TRUE
A2,2/3/2021,TRUE
B2,3/3/2021,TRUE
A3,4/3/2021,TRUE
B3,5/3/2021,TRUE
A4,8/3/2021,TRUE
B4,9/3/2021,TRUE
A1,10/3/2021,TRUE
B1,11/3/2021,TRUE
A2,15/3/2021,TRUE
B2,16/3/2021,TRUE
A3,17/3/2021,TRUE
B3,18/3/2021,TRUE
A4,19/3/2021,TRUE
B4,22/3/2021,TRUE
A1,23/3/2021,TRUE
B1,24/3/2021,TRUE
A2,25/3/2021,TRUE
B2,30/3/2021,TRUE
A3,31/3/2021,TRUE
B3,12/4/2021,TRUE
A4,13/4/2021,TRUE
B4,14/4/2021,TRUE
A1,15/4/2021,TRUE
B1,16/4/2021,TRUE
A2,19/4/2021,TRUE
B2,20/4/2021,TRUE
A3,21/4/2021,TRUE
B3,22/4/2021,TRUE
A4,23/4/2021,TRUE
B4,26/4/2021,TRUE
A1,27/4/2021,TRUE
B1,28/4/2021,TRUE
A2,29/4/2021,TRUE
B2,30/4/2021,TRUE
A3,17/5/2021,TRUE
B3,18/5/2021,TRUE
A4,20/5/2021,TRUE
B4,21/5/2021,TRUE
A1,24/5/2021,TRUE
B1,25/5/2021,TRUE
A2,26/5/2021,TRUE
B2,27/5/2021,TRUE
A3,28/5/2021,TRUE
B3,31/5/2021,TRUE
A4,1/6/2021,TRUE
B4,2/6/2021,TRUE
A1,3/6/2021,TRUE
B1,4/6/2021,TRUE
A2,7/6/2021,TRUE
B2,8/6/2021,TRUE
A3,9/6/2021,TRUE
B3,10/6/2021,TRUE
A4,11/6/2021,TRUE
B4,15/6/2021,TRUE
A1,16/6/2021,TRUE
B1,17/6/2021,TRUE
A2,18/6/2021,TRUE
